,target,x,y,dx1,dy1,dx2,dy2
0,slit1,40,40,3,3,3,3
1,slit2,140,40,3,3,3,3
2,slit3,240,40,3,3,3,3
3,slit4,340,40,3,3,3,3
4,slit5,440,40,3,3,3,3
5,slit6,540,40,3,3,3,3
6,slit7,640,40,3,3,3,3
7,slit8,740,40,3,3,3,3
8,slit9,840,40,3,3,3,3
9,slit10,940,40,3,3,3,3
10,slit11,1040,40,3,3,3,3
11,slit12,40,140,3,3,3,3
12,slit13,140,140,3,3,3,3
13,slit14,240,140,3,3,3,3
14,slit15,340,140,3,3,3,3
15,slit16,440,140,3,3,3,3
16,slit17,540,140,3,3,3,3
17,slit18,640,140,3,3,3,3
18,slit19,740,140,3,3,3,3
19,slit20,840,140,3,3,3,3
20,slit21,940,140,3,3,3,3
21,slit22,1040,140,3,3,3,3
22,slit23,40,240,3,3,3,3
23,slit24,140,240,3,3,3,3
24,slit25,240,240,3,3,3,3
25,slit26,340,240,3,3,3,3
26,slit27,440,240,3,3,3,3
27,slit28,540,240,3,3,3,3
28,slit29,640,240,3,3,3,3
29,slit30,740,240,3,3,3,3
30,slit31,840,240,3,3,3,3
31,slit32,940,240,3,3,3,3
32,slit33,1040,240,3,3,3,3
33,slit34,40,340,3,3,3,3
34,slit35,140,340,3,3,3,3
35,slit36,240,340,3,3,3,3
36,slit37,340,340,3,3,3,3
37,slit38,440,340,3,3,3,3
38,slit39,540,340,3,3,3,3
39,slit40,640,340,3,3,3,3
40,slit41,740,340,3,3,3,3
41,slit42,840,340,3,3,3,3
42,slit43,940,340,3,3,3,3
43,slit44,1040,340,3,3,3,3
44,slit45,40,440,3,3,3,3
45,slit46,140,440,3,3,3,3
46,slit47,240,440,3,3,3,3
47,slit48,340,440,3,3,3,3
48,slit49,440,440,3,3,3,3
49,slit50,540,440,3,3,3,3
50,slit51,640,440,3,3,3,3
51,slit52,740,440,3,3,3,3
52,slit53,840,440,3,3,3,3
53,slit54,940,440,3,3,3,3
54,slit55,1040,440,3,3,3,3
55,slit56,40,540,3,3,3,3
56,slit57,140,540,3,3,3,3
57,slit58,240,540,3,3,3,3
58,slit59,340,540,3,3,3,3
59,slit60,440,540,3,3,3,3
60,slit61,540,540,3,3,3,3
61,slit62,640,540,3,3,3,3
62,slit63,740,540,3,3,3,3
63,slit64,840,540,3,3,3,3
64,slit65,940,540,3,3,3,3
65,slit66,1040,540,3,3,3,3
66,slit67,40,640,3,3,3,3
67,slit68,140,640,3,3,3,3
68,slit69,240,640,3,3,3,3
69,slit70,340,640,3,3,3,3
70,slit71,440,640,3,3,3,3
71,slit72,540,640,3,3,3,3
72,slit73,640,640,3,3,3,3
73,slit74,740,640,3,3,3,3
74,slit75,840,640,3,3,3,3
75,slit76,940,640,3,3,3,3
76,slit77,1040,640,3,3,3,3
77,slit78,40,740,3,3,3,3
78,slit79,140,740,3,3,3,3
79,slit80,240,740,3,3,3,3
80,slit81,340,740,3,3,3,3
81,slit82,440,740,3,3,3,3
82,slit83,540,740,3,3,3,3
83,slit84,640,740,3,3,3,3
84,slit85,740,740,3,3,3,3
85,slit86,840,740,3,3,3,3
86,slit87,940,740,3,3,3,3
87,slit88,1040,740,3,3,3,3
88,slit89,40,840,3,3,3,3
89,slit90,140,840,3,3,3,3
90,slit91,240,840,3,3,3,3
91,slit92,340,840,3,3,3,3
92,slit93,440,840,3,3,3,3
93,slit94,540,840,3,3,3,3
94,slit95,640,840,3,3,3,3
95,slit96,740,840,3,3,3,3
96,slit97,840,840,3,3,3,3
97,slit98,940,840,3,3,3,3
98,slit99,1040,840,3,3,3,3
99,slit100,40,940,3,3,3,3
100,slit101,140,940,3,3,3,3
101,slit102,240,940,3,3,3,3
102,slit103,340,940,3,3,3,3
103,slit104,440,940,3,3,3,3
104,slit105,540,940,3,3,3,3
105,slit106,640,940,3,3,3,3
106,slit107,740,940,3,3,3,3
107,slit108,840,940,3,3,3,3
108,slit109,940,940,3,3,3,3
109,slit110,1040,940,3,3,3,3
110,slit111,40,1040,3,3,3,3
111,slit112,140,1040,3,3,3,3
112,slit113,240,1040,3,3,3,3
113,slit114,340,1040,3,3,3,3
114,slit115,440,1040,3,3,3,3
115,slit116,540,1040,3,3,3,3
116,slit117,640,1040,3,3,3,3
117,slit118,740,1040,3,3,3,3
118,slit119,840,1040,3,3,3,3
119,slit120,940,1040,3,3,3,3
120,slit121,1040,1040,3,3,3,3
