Position Counts Filter
FW_A1 46667  void-[SLOAN-g]
FW_A2 62222  void-[SLOAN-r]
FW_A3 77778  void-[SLOAN-i]
FW_A4 00000  void-[open]
FW_A5 15555  void-[SLOAN-z]
FW_A6 31111  void-[blank]
FW_B1 46667  Halpha
FW_B2 62222  OIII
FW_B3 77778  void-[S[II]]
FW_B4 00000  blank
FW_B5 15555  void-[TBD1]
FW_B6 31111  void-[TBD2]
GR_AH 5      GRA_Home
GR_BH 7      GRB_Home 
GR_A1 70600  LowRed-[69800-71400]
GR_A2 105300  LowBlue-[104500-106100]
GR_B1 173200  Hbeta-[172499-174000]
GR_B2 207850  Halpha-[207000-208700]

 
