r_cntr,object_id,ngood,flags,smss_j,raj2000,dej2000,e_raj2000,e_dej2000,mean_epoch,nimaflags,class_star,u_psf,e_u_psf,u_petro,e_u_petro,u_apc05,e_u_apc05,v_psf,e_v_psf,v_petro,e_v_petro,v_apc05,e_v_apc05,g_psf,e_g_psf,g_petro,e_g_petro,g_apc05,e_g_apc05,r_psf,e_r_psf,r_petro,e_r_petro,r_apc05,e_r_apc05,i_psf,e_i_psf,i_petro,e_i_petro,i_apc05,e_i_apc05,z_psf,e_z_psf,z_petro,e_z_petro,z_apc05,e_z_apc05,self_dist1,self_id1
6.12,430155918,3,513,100040.54-544728.2,150.168851,-54.791141,36,60,57225.8298,0,0.891,,,,,,,,,,,,,18.1593,0.0725,18.4647,0.1615,18.4353,0.1481,17.836,0.0461,18.3637,0.1485,18.1425,0.1007,17.2625,,17.6271,,17.3774,,,,,,,,6.97,430155919
9.76,430155910,20,3,100040.84-544714.5,150.170108,-54.787389,73,73,57799.3912,3,0.674,16.5441,0.1125,16.2872,0.0771,16.8,0.0268,15.958,0.1321,15.8003,0.0309,16.3152,0.0216,14.8592,0.1545,14.8589,0.0735,15.327,0.0144,14.3912,0.1707,14.4629,0.0792,14.8366,0.0183,13.8836,0.1981,13.9809,0.1372,14.4465,0.0194,,,,,,,5.81,2618878241
11.09,430155911,43,3,100042.33-544722.3,150.17638,-54.789571,36,36,58339.1293,10,0.997,14.4596,0.0153,14.4669,0.0153,14.458,0.0157,14.3927,0.0097,14.3917,0.0196,14.3988,0.0102,13.4251,0.0126,13.3805,0.0224,13.4326,0.0129,12.798,0.016,12.7484,0.0457,12.8018,0.0145,12.2439,0.0189,12.2271,0.0245,12.2516,0.0183,12.0353,0.0152,11.9613,0.0287,12.0344,0.0162,8.29,430155909
11.12,2618878241,10,3,100040.17-544716.1,150.167402,-54.787806,36,69,58873.1498,1,0.836,15.1173,0.1166,14.8766,0.0585,15.7654,0.1075,14.6212,0.1263,14.41,0.0337,15.3795,0.0874,13.0587,0.2745,13.2877,0.0121,14.3888,0.1345,,,,,,,,,,,,,,,,,,,1.74,430155952
11.51,430155953,13,3,100039.89-544719.0,150.16621,-54.788534,44,36,58269.2704,6,0.061,,,,,,,,,,,,,12.5746,0.2789,12.8142,0.0146,14.9012,0.0251,12.4909,0.4127,12.3914,0.0146,14.1533,0.179,11.9249,0.2239,11.8645,0.0154,13.9176,0.2798,11.3993,0.1308,11.5751,0.0466,13.8418,0.1093,2.62,430155952
12.13,430155919,25,3,100039.72-544727.8,150.165501,-54.791006,36,42,58157.3248,3,0.691,17.3276,0.0489,17.2045,0.0538,17.4197,0.0286,16.7495,0.0685,16.5786,0.0549,16.918,0.0214,15.5151,0.133,15.3462,0.027,15.8713,0.0164,14.9629,0.1458,14.6761,0.1749,15.3985,0.0168,14.4699,0.1913,14.3488,0.0494,14.9926,0.0208,14.2351,0.3503,14.21,0.0473,14.7113,0.0384,4.14,1524774824
12.32,430155952,23,3,100039.95-544716.2,150.166564,-54.787835,222,36,57948.4018,3,0.979,15.3367,0.0496,15.1984,0.0436,15.3408,0.0481,14.8603,0.0412,14.6766,0.0305,14.8618,0.0332,13.9156,0.0344,13.744,0.0261,13.9452,0.0283,13.445,0.0391,13.2409,0.0513,13.4538,0.0291,13.0872,0.0573,12.8483,0.1262,13.0774,0.048,12.4157,0.2803,12.0695,0.0297,12.8389,0.0355,1.74,2618878241
12.46,430155920,30,3,100041.25-544736.6,150.171786,-54.793478,37,38,58079.547,7,0.997,16.9802,0.0577,17.4569,0.0666,17.1567,0.077,17.9364,0.0361,18.4319,0.0774,17.9419,0.0347,13.8779,0.0112,13.8118,0.0272,13.8915,0.0102,12.4501,0.0116,12.4477,0.0147,12.4511,0.013,11.2042,0.0106,11.206,0.0105,11.2029,0.0133,10.4434,0.0146,10.4245,0.0201,10.4384,0.0173,1.54,2618878203
13.01,2618878203,6,0,100041.06-544737.1,150.171108,-54.793655,128,132,58878.3525,0,0.973,17.0274,0.0401,17.2245,0.0885,17.0601,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,430155920
13.26,430155914,15,3,100042.07-544734.2,150.175293,-54.792819,36,36,58042.5794,1,0.911,18.1456,0.0345,18.4195,0.0864,18.1957,0.0422,17.5909,0.0236,17.6017,0.0725,17.6095,0.0215,16.4809,0.0341,16.4384,0.0572,16.4722,0.0225,15.9364,0.0506,15.8623,0.0555,15.9175,0.0247,,,,,,,,,,,,,6.39,2618878196
14.2,1524774824,3,27,100039.17-544725.1,150.164261,-54.790107,992,559,58649.628,476,0.03,16.3674,0.3507,16.0311,0.0576,17.3116,0.0558,,,,,,,14.3784,0.255,13.9832,0.1593,15.8938,0.0385,14.3029,,13.5062,,15.8834,,13.6827,,12.9938,,16.1027,,,,,,,,4.14,430155919
17.1,430155909,13,3,100042.96-544728.6,150.179051,-54.791282,47,56,57665.9535,7,0.947,17.7968,0.0697,17.7736,0.151,17.8514,0.1042,17.4032,0.0287,17.2955,0.0955,17.3997,0.0346,16.4082,0.0231,16.3414,0.0321,16.4242,0.022,15.9325,0.0311,15.8069,0.0273,15.9376,0.0211,15.5095,0.0595,15.2927,0.1005,15.5333,0.0273,15.2744,0.0587,15.1244,0.0604,15.2743,0.0455,8.29,430155911
18.11,430155640,1,3,100042.60-544709.9,150.177037,-54.786355,36,36,57054.5376,0,0.695,,,,,,,,,,,,,,,,,,,,,,,,,17.6868,0.0612,18.0917,0.1717,17.9093,0.1551,,,,,,,2.05,2618877885
19.14,430155951,1,3,100040.02-544707.0,150.166754,-54.785352,36,36,56755.4498,0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,17.3339,0.2064,17.2927,0.1053,17.3684,0.0861,,,,,,,2.16,2618878240
19.22,430155962,31,3,100038.87-544725.6,150.161871,-54.790469,70,36,58185.8854,2,0.98,16.7126,0.0228,16.5669,0.0478,16.7333,0.0208,16.272,0.0187,16.0716,0.0842,16.3185,0.0218,15.2424,0.0414,15.095,0.0672,15.3385,0.0736,14.7635,0.0483,14.5927,0.1001,14.8683,0.0753,14.3908,0.055,14.255,0.0192,14.4333,0.0193,14.1156,0.1136,13.9978,0.0353,14.1535,0.0366,5.13,1524774824
19.47,430155954,0,19,100039.20-544715.6,150.16268,-54.787658,36,36,57053.6257,0,0.973,,,,,,,,,,,,,,,,,,,,,,,,,15.3676,,15.6415,,15.6933,,,,,,,,4.03,430155961
19.49,2618878196,0,25,100042.68-544737.6,150.177856,-54.7938,36,36,57743.6914,8,0.789,,,,,,,,,,,,,,,,,,,,,,,,,18.7425,,18.7219,,18.7173,,,,,,,,6.39,430155914
19.85,430155642,23,3,100041.91-544705.3,150.174751,-54.784945,89,148,58168.2608,1,0.905,18.4575,0.0703,18.2806,0.0969,18.4432,0.0928,17.8347,0.0289,17.8087,0.0688,17.8778,0.0339,16.6651,0.0634,16.3898,0.0311,16.7665,0.0212,15.9694,0.0852,15.7506,0.0726,16.1412,0.0188,15.291,0.1298,15.3116,0.0321,15.5296,0.0193,14.8722,0.1393,14.825,0.0726,15.0524,0.0358,6.02,430155639
20.05,430155961,13,3,100038.83-544719.1,150.161752,-54.788642,36,36,57633.8106,0,0.906,17.7179,0.0537,17.5982,0.059,17.738,0.065,17.2258,0.0703,17.1061,0.1432,17.3169,0.0982,16.1223,0.0625,15.9608,0.0299,16.1716,0.0285,15.5773,0.0757,15.4332,0.0526,15.6599,0.0195,15.0803,0.132,14.8009,0.1329,15.2906,0.0458,,,,,,,4.03,430155954
20.13,2618877885,6,3,100042.62-544709.1,150.177596,-54.785887,164,36,57325.5261,0,0.797,,,,,,,,,,,,,,,,,,,17.4779,0.1976,17.4586,0.1201,17.6407,0.066,17.371,0.0485,17.0498,0.4895,17.2191,0.1839,16.1515,0.3137,16.1996,0.1144,16.5919,0.0731,2.05,430155640
21.25,2618878240,5,3,100039.85-544705.6,150.166079,-54.784895,172,523,57439.5416,0,0.593,,,,,,,,,,,,,,,,,,,,,,,,,16.9436,0.1997,16.9816,0.1436,17.1127,0.1052,16.3492,0.2225,16.3067,0.0768,16.6306,0.2254,2.16,430155951
23.25,2618878244,0,17,100038.87-544710.5,150.161996,-54.786276,36,36,57053.626,0,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9933,,17.2357,,17.6459,,5.17,430155954
23.32,430155940,23,1,100039.91-544745.2,150.166297,-54.795896,36,43,58079.2333,2,0.903,,,,,,,18.0917,0.0482,18.4236,0.1182,18.0566,0.0468,16.9673,0.0292,17.0476,0.0543,16.9232,0.023,16.5176,0.0279,16.841,0.0985,16.4623,0.0216,16.0977,0.0299,16.3352,0.0821,16.0517,0.0239,15.7678,0.063,16.0267,0.0641,15.7441,0.029,12.01,430155941
24.21,430155913,4,512,100043.47-544736.7,150.181102,-54.793499,44,62,57108.2351,0,0.823,,,,,,,,,,,,,18.2254,,18.9378,,18.4611,,17.7998,0.0247,17.9814,0.1163,17.8447,0.077,17.2914,0.0287,17.9454,0.2353,17.3269,0.0843,17.0371,0.0495,17.5101,0.1856,17.0066,0.0807,6.82,2618878196
24.56,430155917,6,1,100041.91-544747.6,150.174653,-54.796548,36,36,57510.8684,0,0.943,,,,,,,,,,,,,,,,,,,18.0577,0.0636,18.2504,0.2517,18.0944,0.0954,17.3995,0.0341,17.5547,0.1223,17.5278,0.061,16.9032,0.2843,17.0435,0.1327,17.1508,0.1266,4.5,430155937
24.81,2618877884,3,513,100043.29-544708.5,150.180375,-54.785695,36,59,58083.8179,1,0.892,,,,,,,,,,,,,18.1658,0.1057,18.6931,0.1906,18.2857,0.0963,17.3827,,18.1447,,17.6974,,17.1467,0.0423,17.8241,0.2869,17.1873,0.1115,16.7393,,17.5623,,16.9571,,5.81,2618877885
25.14,430155907,34,3,100043.97-544725.4,150.183193,-54.790407,36,88,58168.3278,1,0.946,16.8676,0.0244,16.8287,0.0361,16.8846,0.0253,16.3399,0.0168,16.2777,0.0244,16.3595,0.0123,15.2941,0.0347,15.2367,0.0212,15.3922,0.0197,14.8521,0.0387,14.8052,0.024,14.9179,0.0163,14.4758,0.091,14.4752,0.0228,14.5662,0.0195,14.1904,0.0859,14.1591,0.021,14.2739,0.0237,4.85,430155908
